CTYNAME,Pop,GrowthRate
PHILADELPHIA,1584138,3.6541
ALLEGHENY,1218452,-0.4508
MONTGOMERY,828604,3.4582
BUCKS,628195,0.4461
DELAWARE,564751,1.0321
LANCASTER,543557,4.4655
CHESTER,522046,4.4251
YORK,448273,2.9559
BERKS,420152,1.9725
LEHIGH,368100,5.1222
WESTMORELAND,350611,-3.9806
LUZERNE,317646,-1.0412
NORTHAMPTON,304807,2.3138
DAUPHIN,277097,3.2896
ERIE,272061,-3.1111
CUMBERLAND,251423,6.5794
LACKAWANNA,210793,-1.741
WASHINGTON,207346,-0.2804
BUTLER,187888,2.062
MONROE,169507,-0.1978
BEAVER,164742,-3.4598
CENTRE,162805,5.5681
FRANKLIN,154835,3.2819
SCHUYLKILL,142067,-4.1933
LEBANON,141314,5.7399
CAMBRIA,131730,-8.1701
FAYETTE,130441,-4.3954
BLAIR,122492,-3.5823
LYCOMING,113664,-2.2111
MERCER,110683,-5.0844
ADAMS,102811,1.3186
NORTHUMBERLAND,91083,-3.4125
LAWRENCE,86184,-5.2954
CRAWFORD,85063,-4.0062
INDIANA,84501,-4.9108
CLEARFIELD,79388,-2.6547
SOMERSET,73952,-4.9008
COLUMBIA,65456,-2.8266
ARMSTRONG,65263,-5.2305
CARBON,64227,-1.5754
BRADFORD,60833,-3.0333
PIKE,55933,-2.4997
WAYNE,51276,-2.9746
VENANGO,51266,-6.7484
BEDFORD,48176,-3.0391
MIFFLIN,46222,-0.8941
PERRY,46139,0.4594
HUNTINGDON,45168,-1.8151
UNION,44785,-0.4778
JEFFERSON,43641,-3.3679
MCKEAN,40968,-5.4795
TIOGA,40763,-2.8805
SUSQUEHANNA,40589,-6.354
SNYDER,40540,2.0979
WARREN,39498,-5.4416
CLARION,38779,-2.885
CLINTON,38684,-1.442
GREENE,36506,-5.4543
ELK,30169,-5.3106
WYOMING,27046,-4.2314
JUNIATA,24704,0.3208
MONTOUR,18240,-0.3388
POTTER,16622,-4.7777
FULTON,14523,-2.281
FOREST,7279,-5.5534
SULLIVAN,6071,-5.2443
CAMERON,4492,-11.6096
